Date,Day,Temperature,Humidity,Wind Speed,Condition
2025-04-13,Sunday,30.3,63.0,2.2,Rain
2025-04-14,Monday,31.5,52.0,1.7,Rain
2025-04-15,Tuesday,31.9,53.0,2.3,Clouds
2025-04-16,Wednesday,32.2,53.0,2.5,Clouds
2025-04-17,Thursday,32.4,52.0,2.4,Clouds
2025-04-18,Friday,33.5,48.0,2.4,Clouds
